Fitted,Actual,Date,LL,UL
19,19,2011-01-01,,
29.5520833333333,5,2011-02-01,,
36.309279201896,16,2011-03-01,,
21.5112290200653,11,2011-04-01,,
13.9646364296177,23,2011-05-01,,
19.5580458601882,16,2011-06-01,,
18.0526230915193,3,2011-07-01,,
10.1347950287982,15,2011-08-01,,
11.2130117967537,26,2011-09-01,,
16.9603869187926,25,2011-10-01,,
20.4750195987225,59,2011-11-01,,
36.074934436846,61,2011-12-01,,
57.3381459477796,37,2012-01-01,,
25.3454461361942,35,2012-02-01,,
45.1063830860265,70,2012-03-01,,
62.7895320068325,85,2012-04-01,,
98.1493862329033,53,2012-05-01,,
64.6742904227391,52,2012-06-01,,
41.5233846284665,93,2012-07-01,,
90.629291335968,93,2012-08-01,,
109.507866617917,133,2012-09-01,,
130.02714479912,253,2012-10-01,,
262.709705963977,253,2012-11-01,,
281.157187169994,251,2012-12-01,,
252.167708557557,110,2013-01-01,,
146.233607000294,129,2013-02-01,,
149.373132165203,152,2013-03-01,,
155.00717231828,118,2013-04-01,,
108.523321070852,87,2013-05-01,,
78.7620540237659,124,2013-06-01,,
119.806197374267,104,2013-07-01,,
105.207817529304,135,2013-08-01,,
140.844638758163,148,2013-09-01,,
215.574594226457,144,2013-10-01,,
169.339595020994,120,2013-11-01,,
127.00735883759,164,2013-12-01,,
42.3490331006263,82,2014-01-01,,
77.9192151768412,70,2014-02-01,,
96.2201367415805,88,2014-03-01,,
72.1796507175146,127,2014-04-01,,
81.9669888665042,149,2014-05-01,,
155.367524290189,170,2014-06-01,,
171.546575756912,162,2014-07-01,,
195.839738710288,152,2014-08-01,,
194.549960756053,127,2014-09-01,,
181.766343719975,136,2014-10-01,,
134.04311906307,114,2014-11-01,,
133.907287293831,130,2014-12-01,,
28.8625730974495,107,2015-01-01,,
71.0253502278214,76,2015-02-01,,
94.6207723711655,102,2015-03-01,,
106.560805215662,88,2015-04-01,,
85.7558099770887,131,2015-05-01,,
128.73638501349,132,2015-06-01,,
131.818150527992,109,2015-07-01,,
129.884771227952,117,2015-08-01,,
125.330178418865,126,2015-09-01,,
153.448473061922,132,2015-10-01,,
127.070363413932,162,2015-11-01,,
163.151500326177,161,2015-12-01,,
110.92534115794,129,2016-01-01,,
101.297843346833,101,2016-02-01,,
129.762696047546,138,2016-03-01,,
129.233325949541,142,2016-04-01,,
161.734571212569,142,2016-05-01,,
158.889340140245,185,2016-06-01,,
166.132722363436,222,2016-07-01,,
223.856620874772,273,2016-08-01,,
283.876794984963,190,2016-09-01,,
253.844586242878,177,2016-10-01,,
213.56476643429,222,2016-11-01,,
212.817268452322,264,2016-12-01,,
203.424875918684,251,2017-01-01,,
214.917358281231,213,2017-02-01,,
255.881194351235,294,2017-03-01,,
289.193715625529,235,2017-04-01,,
269.998792346395,270,2017-05-01,,
291.006305527243,178,2017-06-01,,
222.228766909084,284,2017-07-01,,
285.801721128882,254,2017-08-01,,
232.442116714818,280,2017-09-01,,
267.89514976161,303,2017-10-01,,
324.185110795827,256,2017-11-01,,
299.139384092602,426,2017-12-01,,
345.872981906775,279,2018-01-01,,
278.199744388932,307,2018-02-01,,
359.674717846995,339,2018-03-01,,
320.780534795739,357,2018-04-01,,
385.900488664778,410,2018-05-01,,
369.928422355722,383,2018-06-01,,
462.743387426455,435,2018-07-01,,
446.965446155564,605,2018-08-01,,
564.136275470576,614,2018-09-01,,
652.788887823116,834,2018-10-01,,
790.692501820622,704,2018-11-01,,
904.312496512411,1032,2018-12-01,,
922.641186786383,,2019-01-01,801.387650309054,1032.78991693839
997.772999037705,,2019-02-01,849.070889178927,1166.00048219942
1096.03078766388,,2019-03-01,920.112561317577,1299.01830221047
1144.82974735152,,2019-04-01,911.940793296522,1394.61829827847
1241.41876619081,,2019-05-01,978.835651785253,1517.03016814899
1258.39445671986,,2019-06-01,955.1948183954,1592.626661544
1351.03157154051,,2019-07-01,989.735658016919,1752.4404288246
1469.44534223058,,2019-08-01,1037.55759284528,1926.47557703927
1482.59455935972,,2019-09-01,1044.75592479625,1971.32090350549
1646.3652494106,,2019-10-01,1132.71928216266,2207.56710753236
1576.39553317275,,2019-11-01,1013.99781570107,2228.14445762196
1834.67928660208,,2019-12-01,1226.19684656262,2504.81375681766
