Fitted,Actual,Date,LL,UL,actual_plus_estimate,actual_plus_LL,actual_plus_UL,estimated_sum,LL_sum,UL_sum
19,19,2011-01-01,,,19,19,19,19,19,19
29.5520833333333,5,2011-02-01,,,5,5,5,24,24,24
36.309279201896,16,2011-03-01,,,16,16,16,40,40,40
21.5112290200653,11,2011-04-01,,,11,11,11,51,51,51
13.9646364296177,23,2011-05-01,,,23,23,23,74,74,74
19.5580458601882,16,2011-06-01,,,16,16,16,90,90,90
18.0526230915193,3,2011-07-01,,,3,3,3,93,93,93
10.1347950287982,15,2011-08-01,,,15,15,15,108,108,108
11.2130117967537,26,2011-09-01,,,26,26,26,134,134,134
16.9603869187926,25,2011-10-01,,,25,25,25,159,159,159
20.4750195987225,59,2011-11-01,,,59,59,59,218,218,218
36.074934436846,61,2011-12-01,,,61,61,61,279,279,279
57.3381459477796,37,2012-01-01,,,37,37,37,316,316,316
25.3454461361942,35,2012-02-01,,,35,35,35,351,351,351
45.1063830860265,70,2012-03-01,,,70,70,70,421,421,421
62.7895320068325,85,2012-04-01,,,85,85,85,506,506,506
98.1493862329033,53,2012-05-01,,,53,53,53,559,559,559
64.6742904227391,52,2012-06-01,,,52,52,52,611,611,611
41.5233846284665,93,2012-07-01,,,93,93,93,704,704,704
90.629291335968,93,2012-08-01,,,93,93,93,797,797,797
109.507866617917,133,2012-09-01,,,133,133,133,930,930,930
130.02714479912,253,2012-10-01,,,253,253,253,1183,1183,1183
262.709705963977,253,2012-11-01,,,253,253,253,1436,1436,1436
281.157187169994,251,2012-12-01,,,251,251,251,1687,1687,1687
252.167708557557,110,2013-01-01,,,110,110,110,1797,1797,1797
146.233607000294,129,2013-02-01,,,129,129,129,1926,1926,1926
149.373132165203,152,2013-03-01,,,152,152,152,2078,2078,2078
155.00717231828,118,2013-04-01,,,118,118,118,2196,2196,2196
108.523321070852,87,2013-05-01,,,87,87,87,2283,2283,2283
78.7620540237659,124,2013-06-01,,,124,124,124,2407,2407,2407
119.806197374267,104,2013-07-01,,,104,104,104,2511,2511,2511
105.207817529304,135,2013-08-01,,,135,135,135,2646,2646,2646
140.844638758163,148,2013-09-01,,,148,148,148,2794,2794,2794
215.574594226457,144,2013-10-01,,,144,144,144,2938,2938,2938
169.339595020994,120,2013-11-01,,,120,120,120,3058,3058,3058
127.00735883759,164,2013-12-01,,,164,164,164,3222,3222,3222
42.3490331006263,82,2014-01-01,,,82,82,82,3304,3304,3304
77.9192151768412,70,2014-02-01,,,70,70,70,3374,3374,3374
96.2201367415805,88,2014-03-01,,,88,88,88,3462,3462,3462
72.1796507175146,127,2014-04-01,,,127,127,127,3589,3589,3589
81.9669888665042,149,2014-05-01,,,149,149,149,3738,3738,3738
155.367524290189,170,2014-06-01,,,170,170,170,3908,3908,3908
171.546575756912,162,2014-07-01,,,162,162,162,4070,4070,4070
195.839738710288,152,2014-08-01,,,152,152,152,4222,4222,4222
194.549960756053,127,2014-09-01,,,127,127,127,4349,4349,4349
181.766343719975,136,2014-10-01,,,136,136,136,4485,4485,4485
134.04311906307,114,2014-11-01,,,114,114,114,4599,4599,4599
133.907287293831,130,2014-12-01,,,130,130,130,4729,4729,4729
28.8625730974495,107,2015-01-01,,,107,107,107,4836,4836,4836
71.0253502278214,76,2015-02-01,,,76,76,76,4912,4912,4912
94.6207723711655,102,2015-03-01,,,102,102,102,5014,5014,5014
106.560805215662,88,2015-04-01,,,88,88,88,5102,5102,5102
85.7558099770887,131,2015-05-01,,,131,131,131,5233,5233,5233
128.73638501349,132,2015-06-01,,,132,132,132,5365,5365,5365
131.818150527992,109,2015-07-01,,,109,109,109,5474,5474,5474
129.884771227952,117,2015-08-01,,,117,117,117,5591,5591,5591
125.330178418865,126,2015-09-01,,,126,126,126,5717,5717,5717
153.448473061922,132,2015-10-01,,,132,132,132,5849,5849,5849
127.070363413932,162,2015-11-01,,,162,162,162,6011,6011,6011
163.151500326177,161,2015-12-01,,,161,161,161,6172,6172,6172
110.92534115794,129,2016-01-01,,,129,129,129,6301,6301,6301
101.297843346833,101,2016-02-01,,,101,101,101,6402,6402,6402
129.762696047546,138,2016-03-01,,,138,138,138,6540,6540,6540
129.233325949541,142,2016-04-01,,,142,142,142,6682,6682,6682
161.734571212569,142,2016-05-01,,,142,142,142,6824,6824,6824
158.889340140245,185,2016-06-01,,,185,185,185,7009,7009,7009
166.132722363436,222,2016-07-01,,,222,222,222,7231,7231,7231
223.856620874772,273,2016-08-01,,,273,273,273,7504,7504,7504
283.876794984963,190,2016-09-01,,,190,190,190,7694,7694,7694
253.844586242878,177,2016-10-01,,,177,177,177,7871,7871,7871
213.56476643429,222,2016-11-01,,,222,222,222,8093,8093,8093
212.817268452322,264,2016-12-01,,,264,264,264,8357,8357,8357
203.424875918684,251,2017-01-01,,,251,251,251,8608,8608,8608
214.917358281231,213,2017-02-01,,,213,213,213,8821,8821,8821
255.881194351235,294,2017-03-01,,,294,294,294,9115,9115,9115
289.193715625529,235,2017-04-01,,,235,235,235,9350,9350,9350
269.998792346395,270,2017-05-01,,,270,270,270,9620,9620,9620
291.006305527243,178,2017-06-01,,,178,178,178,9798,9798,9798
222.228766909084,284,2017-07-01,,,284,284,284,10082,10082,10082
285.801721128882,254,2017-08-01,,,254,254,254,10336,10336,10336
232.442116714818,280,2017-09-01,,,280,280,280,10616,10616,10616
267.89514976161,303,2017-10-01,,,303,303,303,10919,10919,10919
324.185110795827,256,2017-11-01,,,256,256,256,11175,11175,11175
299.139384092602,426,2017-12-01,,,426,426,426,11601,11601,11601
345.872981906775,279,2018-01-01,,,279,279,279,11880,11880,11880
278.199744388932,307,2018-02-01,,,307,307,307,12187,12187,12187
359.674717846995,339,2018-03-01,,,339,339,339,12526,12526,12526
320.780534795739,357,2018-04-01,,,357,357,357,12883,12883,12883
385.900488664778,410,2018-05-01,,,410,410,410,13293,13293,13293
369.928422355722,383,2018-06-01,,,383,383,383,13676,13676,13676
462.743387426455,435,2018-07-01,,,435,435,435,14111,14111,14111
446.965446155564,605,2018-08-01,,,605,605,605,14716,14716,14716
564.136275470576,614,2018-09-01,,,614,614,614,15330,15330,15330
652.788887823116,834,2018-10-01,,,834,834,834,16164,16164,16164
790.692501820622,704,2018-11-01,,,704,704,704,16868,16868,16868
904.312496512411,1032,2018-12-01,,,1032,1032,1032,17900,17900,17900
922.641186786383,,2019-01-01,801.387650309054,1032.78991693839,922.641186786383,801.387650309054,1032.78991693839,18822.6411867864,18701.3876503091,18932.7899169384
997.772999037705,,2019-02-01,849.070889178927,1166.00048219942,997.772999037705,849.070889178927,1166.00048219942,19820.4141858241,19550.458539488,20098.7903991378
1096.03078766388,,2019-03-01,920.112561317577,1299.01830221047,1096.03078766388,920.112561317577,1299.01830221047,20916.444973488,20470.5711008056,21397.8087013483
1144.82974735152,,2019-04-01,911.940793296522,1394.61829827847,1144.82974735152,911.940793296522,1394.61829827847,22061.2747208395,21382.5118941021,22792.4269996268
1241.41876619081,,2019-05-01,978.835651785253,1517.03016814899,1241.41876619081,978.835651785253,1517.03016814899,23302.6934870303,22361.3475458873,24309.4571677757
1258.39445671986,,2019-06-01,955.1948183954,1592.626661544,1258.39445671986,955.1948183954,1592.626661544,24561.0879437502,23316.5423642827,25902.0838293197
1351.03157154051,,2019-07-01,989.735658016919,1752.4404288246,1351.03157154051,989.735658016919,1752.4404288246,25912.1195152907,24306.2780222997,27654.5242581443
1469.44534223058,,2019-08-01,1037.55759284528,1926.47557703927,1469.44534223058,1037.55759284528,1926.47557703927,27381.5648575212,25343.8356151449,29580.9998351836
1482.59455935972,,2019-09-01,1044.75592479625,1971.32090350549,1482.59455935972,1044.75592479625,1971.32090350549,28864.159416881,26388.5915399412,31552.3207386891
1646.3652494106,,2019-10-01,1132.71928216266,2207.56710753236,1646.3652494106,1132.71928216266,2207.56710753236,30510.5246662916,27521.3108221038,33759.8878462215
1576.39553317275,,2019-11-01,1013.99781570107,2228.14445762196,1576.39553317275,1013.99781570107,2228.14445762196,32086.9201994643,28535.3086378049,35988.0323038434
